Tarokka_Name,Fortune,Result,Tarokka_Card_URL,Rank,Tarokka_Card_Suit,Playing_Card_URL,Playing_Card_Suit,Index,Fortune2,Result2
Elementalist,"The treasure is hidden in a small castle beneath a mountain, guarded by amber giants.","The treasure is inside a model of Castle Ravenloft in the Amber Temple (chapter 13, area X20).",Elementalist.jpg,5,Stars,5C.png,Club,14,,
Evoker,Search for the crypt of a wizard ordinaire. His staff is the key.,"The treasure is hidden in the crypt of Gralmore Nimblenobs (chapter 4, area K84, crypt 37).",Evoker.jpg,6,Stars,6C.png,Club,15,,
Illusionist,A man is not what he seems. He comes here in a carnival wagon. Therein lies what you seek.,"The treasure lies in Rictavio’s carnival wagon (chapter 5, area N5).",Illusionist.jpg,7,Stars,7C.png,Club,16,,
Necromancer,"A woman hangs above a roaring fire. Find her, and you will find the treasure.","The treasure lies in Castle Ravenloft’s study (chapter 4, area K37).",Necromancer.jpg,8,Stars,8C.png,Club,17,,
Conjurer,"I see a dead village, drowned by a river, ruled by one who has brought great evil into the world.","The treasure is in Baba Lysaga’s hut (chapter 10, area U3).",Conjurer.jpg,9,Stars,9C.png,Club,18,,
Wizard,Look for a wizard’s tower on a lake. Let the wizard’s name and servant guide you to that which you seek.,"The treasure lies on the top floor of Van Richten’s Tower (chapter 11, area V7).",Wizard.jpg,10,Stars,10C.png,Club,19,,
Swashbuckler,"I see the skeleton of a deadly warrior, lying on a bed of stone flanked by gargoyles.","The treasure lies in the crypt of Endorovich (chapter 4, area K84, crypt 7)",Swashbuckler.jpg,1,Coins,AD.png,Diamond,20,,
Philanthropist,"Look to a place where sickness and madness are bred. Where children once cried, the treasure lies still.","The treasure is in the nursery of the Abbey of Saint Markovia (chapter 8, area S23).",Philanthropist.jpg,2,Coins,2D.png,Diamond,21,,
Trader,Look to the wizard of wines! In wood and sand the treasure hides.,"The treasure lies in the glassblower’s workshop in the Wizard of Wines winery (chapter 12, area W10).",Trader.jpg,3,Coins,3D.png,Diamond,22,,
Merchant,"Seek a cask that once contained the finest wine, of which not a drop remains.","The treasure lies in Castle Ravenloft’s wine cellar (chapter 4, area K63).",Merchant.jpg,4,Coins,4D.png,Diamond,23,,
Guild Member,I see a dark room full of bottles. It is the tomb of a guild member.,"The treasure lies in the crypt of Artank Swilovich (chapter 4, area K84, crypt 5).",Guild_Member.jpg,5,Coins,5D.png,Diamond,24,,
Beggar,A wounded elf has what you seek. He will part with the treasure to see his dark dreams fulfilled.,"The treasure is hidden in Kasimir’s hovel (chapter 5, area N9a).",Beggar.jpg,6,Coins,6D.png,Diamond,25,,
Thief,"What you seek lies at the crossroads of life and death, among the buried dead.","The treasure is buried in the graveyard at the River Ivlis crossroads (chapter 2, area F).",Thief.jpg,7,Coins,7D.png,Diamond,26,,
Tax Collector,The Vistani have what you seek. A missing child holds the key to the treasure’s release.,"The treasure is hidden in the Vistani treasure wagon (chapter 5, area N9i). “A missing child” refers to Arabelle (see chapter 2, area L).",Tax_Collector.jpg,8,Coins,8D.png,Diamond,27,,
Miser,"Look for a fortress inside a fortress, in a place hidden behind fire.","The treasure lies in Castle Ravenloft’s treasury (chapter 4, area K41).",Miser.jpg,9,Coins,9D.png,Diamond,28,,
Rogue,I see a nest of ravens. There you will find the prize.,"The treasure is hidden in the attic of the Blue Water Inn (chapter 5, area N2q).",Rogue.jpg,10,Coins,10D.png,Diamond,29,,
Monk,"The treasure you seek is hidden behind the sun, in the house of a saint.","The treasure lies in the main hall of the Abbey of Saint Markovia (chapter 8, area S13).",Monk.jpg,1,Glyphs,AH.png,Heart,30,,
Missionary,"I see a garden dusted with snow, watched over by a scarecrow with a sackcloth grin. Look not to the garden but to the guardian.","The treasure is hidden inside one of the scarecrows in the garden of the Abbey of Saint Markovia (chapter 8, area S9).",Missionary.jpg,2,Glyphs,2H.png,Heart,31,,
Healer,Look to the west. Find a pool blessed by the light of the white sun.,"The treasure lies beneath the gazebo in the Shrine of the White Sun (chapter 8, area S4).",Healer.jpg,3,Glyphs,3H.png,Heart,32,,
Shepherd,Find the mother — she who gave birth to evil.,"The treasure lies in the tomb of King Barov and Queen Ravenovia (chapter 4, area K88).",Sheperd.jpg,4,Glyphs,4H.png,Heart,33,,
Druid,An evil tree grows atop a hill of graves where the ancient dead sleep. The ravens can help you find it. Look for the treasure there.,"The treasure lies at the base of the Gulthias tree (chapter 14, area Y4). Any wereraven encountered in the wilderness can lead the characters to the location.",Druid.jpg,5,Glyphs,5H.png,Heart,34,,
Anarchist,"I see walls of bones, a chandelier of bones, and a table of bones — all that remains of enemies long forgotten.","The treasure lies in Castle Ravenloft’s hall of bones (chapter 4, area K67).",Anarchist.jpg,6,Glyphs,6H.png,Heart,35,,
Charlatan,I see a lonely mill on a precipice. The treasure lies within.,"The treasure lies in the attic of Old Bonegrinder (chapter 6, area O4).",Charlatan.jpg,7,Glyphs,7H.png,Heart,36,,
Bishop,"What you seek lies in a pile of treasure, beyond a set of amber doors.","The treasure lies in the sealed treasury of the Amber Temple (chapter 13, area X40).",Bishop.jpg,8,Glyphs,8H.png,Heart,37,,
Traitor,"Look for a wealthy woman. A staunch ally of the devil, she keeps the treasure under lock and key, with the bones of an ancient enemy.","The treasure is hidden in the master bedroom of Wachterhaus (chapter 5, area N4o).",Traitor.jpg,9,Glyphs,9H.png,Heart,38,,
Priest,"You will find what you seek in the castle, amid the ruins of a place of supplication.","The treasure lies in Castle Ravenloft’s chapel (chapter 4, area K15).",Priest.jpg,10,Glyphs,10H.png,Heart,39,,
Ghost,I see a fallen paladin of a fallen order of knights. He lingers like a ghost in a dead dragon’s lair.,"This card refers to the revenant Sir Godfrey Gwilym (see chapter 7, area Q37). Although initially unwilling to accompany the characters, he will do so if the characters convince him that the honor of the Order of the Silver Dragon can be restored with his help. Doing this requires a successful DC 15 Charisma (Persuasion) check.",Ghost.jpg,13,,KH.png,Heart,40,Stir the spirit of the clumsy knight whose crypt lies deep within the castle.,"This card refers to Sir Klutz the phantom warrior (see chapter 4, area K84, crypt 33). If Sir Klutz is Strahd’s enemy, then the phantom warrior disappears not after seven days, but only after he or Strahd is reduced to 0 hit points."
Innocent,I see a young man with a kind heart. A mother’s boy! He is strong in body but weak of mind. Seek him out in the village of Barovia.,"This card refers to Parriwimple (see chapter 3, area E1). Although he’s a simpleton, he won’t travel to Castle Ravenloft without good cause. Characters can manipulate him into going by preying on his good heart. For instance, he might go there to help rescue missing Barovians, or to save the life of Ireena Kolyana, who is very beautiful. The characters must somehow deal with Bildrath, Parriwimple’s employer, who won’t let the foolish boy go to the castle for any reason.",Innocent.jpg,12,,QH.png,Heart,41,Evil’s bride is the one you seek!,"This card refers to Ireena Kolyana (see chapter 3, area E4). Her brother, Ismark, opposes the idea of Ireena’s being taken to Castle Ravenloft, but she insists on going there once the characters tell her about the card reading. Ireena won’t accompany the characters, however, until Kolyan Indirovich’s body is laid to rest in the cemetery."
Marionette,"What horror is this? I see a man made by a man. Ageless and alone, it haunts the towers of the castle.","This card refers to Pidlwick II (see chapter 4, area K59, as well as appendix D).",Marionette.jpg,11,,JH.png,Heart,42,"Look for a man of music, a man with two heads. He lives in a place of great hunger and sorrow.","This card refers to Clovin Belview (see chapter 8, area S17), the two-headed mongrelfolk. Clovin serves the Abbot out of fear and a perverse sense of loyalty. His job is to deliver food to the other mongrelfolk, whom he abhors. If the Abbot still lives, Clovin doesn’t want to earn his master’s ire by attempting to leave, and he refuses to accompany the characters. But if the Abbot dies, Clovin doesn’t have any reason to remain in the abbey, so he’s willing to come along if he is bribed with wine. Clovin provides no benefit to the party without his viol."
Darklord,"Ah, the worst of all truths: You must face the evil of this land alone!",There is no NPC who can inspire the characters.,Darklord.jpg,13,,KS.png,Spade,43,,
Mists,"A Vistana wanders this land alone, searching for her mentor. She does not stay in one place for long. Seek her out at Saint Markovia’s abbey, near the mists.","This card refers to Ezmerelda d’Avenir (see appendix D). She can be found in the Abbey of Saint Markovia (see chapter 8, area S19), as well as several other locations throughout Barovia.",Mists.jpg,12,,QS.png,Spade,44,,
Donjon,Search for a troubled young man surrounded by wealth and madness. His home is his prison.,"This card refers to Victor Vallakovich (see chapter 5, area N3t). Realizing that the characters are the key to his salvation, he enthusiastically leaves home and accompanies them to Castle Ravenloft.",Donjon.jpg,13,,KC.png,Club,46,"Find a girl driven to insanity, locked in the heart of her dead father’s house. Curing her madness is key to your success.","This card refers to Stella Wachter (see chapter 5, area N4n). She grants the party no benefit unless her madness is cured. With her wits restored, Stella is happy to join the party and leave her rotten family behind."
Executioner,"Seek out the brother of the devil’s bride. They call him “the lesser,” but he has a powerful soul.","This card refers to Ismark Kolyanovich (see chapter 3, area E2). Ismark won’t accompany the characters to Castle Ravenloft until he knows that his sister, Ireena Kolyana, is safe.",Executioner.jpg,11,,JS.png,Spade,45,,
Raven,"Find the leader of the feathered ones who live among the vines. Though old, he has one more fight left in him.","This card refers to Davian Martikov (see chapter 12, “The Wizard of Wines”). The old wereraven, realizing that he has a chance to end Strahd’s tyranny, leaves his vineyard and winery in the capable hands of his sons, Adrian and Elvir. But before he travels to Castle Ravenloft to face Strahd, Davian insists on reconciling with his third son, Urwin Martikov (see chapter 5, area N2).",Raven.jpg,12,,QC.png,Club,47,,
Seer,"Look for a dusk elf living among the Vistani. He has suffered a great loss and is haunted by dark dreams. Help him, and he will help you in return.","This card refers to Kasimir Velikov (see chapter 5, area N9a). The dusk elf accompanies the characters to Castle Ravenloft only after they lead him to the Amber Temple and help him find the means to resurrect his dead sister, Patrina Velikovna.",Seer.jpg,11,,JC.png,Club,48,,
Broken One,"Your greatest ally will be a wizard. His mind is broken, but his spells are strong.","This card refers to the Mad Mage of Mount Baratok (see chapter 2, area M).",Broken_One.jpg,13,,KD.png,Diamond,49,I see a man of faith whose sanity hangs by a thread. He has lost someone close to him.,"This card refers to Donavich, the priest in the village of Barovia (see chapter 3, area E5). He will not accompany the characters until his son, Doru, is dead and buried."
Tempter,"I see a child — a Vistana. You must hurry, for her fate hangs in the balance. Find her at the lake!","This card refers to Arabelle (see chapter 2, area L). She gladly joins the party. But if she returns to her camp (chapter 5, area N9), her father, Luvash, refuses to let her leave.",Tempter.jpg,12,,QD.png,Diamond,50,"I hear a wedding bell, or perhaps a death knell. It calls thee to a mountainside abbey, wherein you will find a woman who is more than the sum of her parts.","This card refers to Vasilka the flesh golem (see chapter 8, area S13)."
Beast,A werewolf holds a secret hatred for your enemy. Use her hatred to your advantage.,"This card refers to the werewolf Zuleika Toranescu (see chapter 15, area Z7). She will accompany the characters if they promise to avenge her mate, Emil, by killing the leader of her pack, Kiril Stoyanovich.",Beast.jpg,11,,JD.png,Diamond,51,,
Artifact,Look for an entertaining man with a monkey. This man is more than he seems.,"This card refers to Rictavio (see appendix D), who can be found at the Blue Water Inn in Vallaki (chapter 5, area N2). Normally reluctant to accompany the characters, Rictavio changes his tune if the characters tell him about the card reading. He sheds his disguise and introduces himself as Dr. Rudolph van Richten. The characters might think that Gadof Blinsky, the toymaker of Vallaki (area N7), is the figure they seek, because he has a pet monkey. If they speak to him about this possibility, Blinsky jokes that he and the monkey are “old friends,” but if the characters ask him to come with them to fight Strahd, he politely declines. If the characters tell him about the tarokka reading, Blinsky admits that he acquired the monkey from a half-elf carnival ringmaster named Rictavio.",Artifact.jpg,,,Joker1.png,,52,,
Horseman,"I see a dead man of noble birth, guarded by his widow. Return life to the dead man’s corpse, and he will be your staunch ally.","This card refers to Nikolai Wachter the elder, who is dead (see chapter 5, area N4o). If the characters cast a raise dead spell or a resurrection spell on his preserved corpse, Nikolai (LN male human noble) agrees to help the characters once he feels well enough, despite his wife’s protests. Although his family has long supported Strahd, Nikolai came to realize toward the end of his life that Strahd must be destroyed to save Barovia. If the characters don’t have the means to raise Nikolai from the dead, Rictavio (see appendix D) gives them a spell scroll of raise dead if he learns of their need. If they’re staying at the Blue Water Inn, he leaves the scroll in one of their rooms.",Horseman.jpg,,,Joker2.png,,53,A man of death named Arrigal will forsake his dark lord to serve your cause. Beware! He has a rotten soul.,"This card refers to the Vistani assassin Arrigal (see chapter 5, area N9c). If the characters mention this card reading to him, he accepts his fate and accompanies them. If the characters succeed in defeating Strahd, Arrigal betrays and attacks them, believing that he is destined to become Barovia’snew lord."
